nx,ny,nz,dt,tsr,cp,cd
48.0,48.0,32.0,0.05,3.0999999999999965,0.2512336639836001,0.7935891921104758
48.0,48.0,32.0,0.04,3.099999999999996,0.250954637374996,0.7933919650155918
48.0,48.0,32.0,0.03,3.100000000000001,0.24986059371021194,0.7926487364376336
48.0,48.0,32.0,0.02,3.1000000000000085,0.2476022927770649,0.790777895118172
48.0,48.0,32.0,0.01,3.1000000000000147,0.2435403925459971,0.7870514302964983
48.0,48.0,32.0,0.006999999999999999,3.099999999999991,0.24194822344998804,0.7855769780392493
48.0,48.0,32.0,0.005,3.099999999999968,0.2406990771393588,0.7844063487222773
48.0,48.0,32.0,0.003,3.0999999999999446,0.23943580325185185,0.7831774217794965
